CCS,CCS_label,CCS_Level
DX102,Nonspecific chest pain,main
DX103,Pulmonary heart disease,main
DX104,Other and ill-defined heart disease,main
DX105,Conduction disorders,main
DX106,Cardiac dysrhythmias,main
DX107,Cardiac arrest and ventricular fibrillation,main
DX108,Congestive heart failure; nonhypertensive,main
DX109,Acute cerebrovascular disease,main
DX-7.3,Cerebrovascular disease,lvl2
DX110,Occlusion or stenosis of precerebral arteries,main
DX111,Other and ill-defined cerebrovascular disease,main
DX112,Transient cerebral ischemia,main
DX113,Late effects of cerebrovascular disease,main
DX114,Peripheral and visceral atherosclerosis,main
DX-7.4,Diseases of arteries; arterioles; and capillaries,lvl2
DX115,Aortic; peripheral; and visceral artery aneurysms,main
DX116,Aortic and peripheral arterial embolism or thrombosis,main
DX117,Other circulatory disease,main
DX118,Phlebitis; thrombophlebitis and thromboembolism,main
DX-7.5,Diseases of veins and lymphatics,lvl2
DX119,Varicose veins of lower extremity,main
DX120,Hemorrhoids,main
DX121,Other diseases of veins and lymphatics,main
DX122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),main
DX-8,Diseases of the respiratory system,lvl1
DX-8.1,Respiratory infections,lvl2
DX123,Influenza,main
DX124,Acute and chronic tonsillitis,main
DX125,Acute bronchitis,main
DX126,Other upper respiratory infections,main
DX127,Chronic obstructive pulmonary disease and bronchiectasis,main
DX-8.2,Chronic obstructive pulmonary disease and bronchiectasis [127.],lvl2
DX128,Asthma,main
DX-8.3,Asthma [128.],lvl2
DX129,Aspiration pneumonitis; food/vomitus,main
DX-8.4,Aspiration pneumonitis; food/vomitus [129.],lvl2
DX130,Pleurisy; pneumothorax; pulmonary collapse,main
DX-8.5,Pleurisy; pneumothorax; pulmonary collapse [130.],lvl2
DX131,Respiratory failure; insufficiency; arrest (adult),main
DX-8.6,Respiratory failure; insufficiency; arrest (adult) [131.],lvl2
DX132,Lung disease due to external agents,main
DX-8.7,Lung disease due to external agents [132.],lvl2
DX133,Other lower respiratory disease,main
DX-8.8,Other lower respiratory disease [133.],lvl2
DX134,Other upper respiratory disease,main
DX-8.9,Other upper respiratory disease [134.],lvl2
DX135,Intestinal infection,main
DX-9,Diseases of the digestive system,lvl1
DX-9.1,Intestinal infection [135.],lvl2
DX136,Disorders of teeth and jaw,main
DX-9.2,Disorders of teeth and jaw [136.],lvl2
DX137,Diseases of mouth; excluding dental,main
DX-9.3,Diseases of mouth; excluding dental [137.],lvl2
DX138,Esophageal disorders,main
DX-9.4,Upper gastrointestinal disorders,lvl2
DX139,Gastroduodenal ulcer (except hemorrhage),main
DX140,Gastritis and duodenitis,main
DX141,Other disorders of stomach and duodenum,main
DX142,Appendicitis and other appendiceal conditions,main
DX-9.6,Lower gastrointestinal disorders,lvl2
DX143,Abdominal hernia,main
DX-9.5,Abdominal hernia [143.],lvl2
DX144,Regional enteritis and ulcerative colitis,main
DX145,Intestinal obstruction without hernia,main
DX146,Diverticulosis and diverticulitis,main
DX147,Anal and rectal conditions,main
DX148,Peritonitis and intestinal abscess,main
DX149,Biliary tract disease,main
DX-9.7,Biliary tract disease [149.],lvl2
DX151,Other liver diseases,main
DX-9.8,Liver disease,lvl2
DX152,Pancreatic disorders (not diabetes),main
DX-9.9,Pancreatic disorders (not diabetes) [152.],lvl2
DX153,Gastrointestinal hemorrhage,main
DX-9.10,Gastrointestinal hemorrhage [153.],lvl2
DX154,Noninfectious gastroenteritis,main
DX-9.11,Noninfectious gastroenteritis [154.],lvl2
DX155,Other gastrointestinal disorders,main
DX-9.12,Other gastrointestinal disorders [155.],lvl2
DX156,Nephritis; nephrosis; renal sclerosis,main
DX-10,Diseases of the genitourinary system,lvl1
DX-10.1,Diseases of the urinary system,lvl2
DX157,Acute and unspecified renal failure,main
DX158,Chronic kidney disease,main
DX159,Urinary tract infections,main
DX160,Calculus of urinary tract,main
DX161,Other diseases of kidney and ureters,main
DX162,Other diseases of bladder and urethra,main
DX163,Genitourinary symptoms and ill-defined conditions,main
DX164,Hyperplasia of prostate,main
DX-10.2,Diseases of male genital organs,lvl2
DX165,Inflammatory conditions of male genital organs,main
DX166,Other male genital disorders,main
DX167,Nonmalignant breast conditions,main
DX-10.3,Diseases of female genital organs,lvl2
DX168,Inflammatory diseases of female pelvic organs,main
DX169,Endometriosis,main
DX170,Prolapse of female genital organs,main
DX171,Menstrual disorders,main
DX172,Ovarian cyst,main
DX173,Menopausal disorders,main
DX174,Female infertility,main
DX175,Other female genital disorders,main
DX176,Contraceptive and procreative management,main
DX-11,Complications of pregnancy; childbirth; and the puerperium,lvl1
DX-11.1,Contraceptive and procreative management [176.],lvl2
DX177,Spontaneous abortion,main
DX-11.2,Abortion-related disorders,lvl2
DX178,Induced abortion,main
DX179,Postabortion complications,main
DX180,Ectopic pregnancy,main
DX-11.3,Complications mainly related to pregnancy,lvl2
DX181,Other complications of pregnancy,main
DX182,Hemorrhage during pregnancy; abruptio placenta; placenta previa,main
DX183,Hypertension complicating pregnancy; childbirth and the puerperium,main
DX184,Early or threatened labor,main
DX185,Prolonged pregnancy,main
DX186,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,main
DX187,Malposition; malpresentation,main
DX-11.4,Indications for care in pregnancy; labor; and delivery,lvl2
DX188,Fetopelvic disproportion; obstruction,main
DX189,Previous C-section,main
DX190,Fetal distress and abnormal forces of labor,main
DX191,Polyhydramnios and other problems of amniotic cavity,main
DX192,Umbilical cord complication,main
DX-11.5,Complications during labor,lvl2
DX193,OB-related trauma to perineum and vulva,main
DX194,Forceps delivery,main
DX195,Other complications of birth; puerperium affecting management of mother,main
DX-11.6,Other complications of birth; puerperium affecting management of mother [195.],lvl2
DX196,Other pregnancy and delivery including normal,main
DX-11.7,Normal pregnancy and/or delivery [196.],lvl2
DX197,Skin and subcutaneous tissue infections,main
DX-12,Diseases of the skin and subcutaneous tissue,lvl1
DX-12.1,Skin and subcutaneous tissue infections [197.],lvl2
DX198,Other inflammatory condition of skin,main
DX-12.2,Other inflammatory condition of skin [198.],lvl2
DX199,Chronic ulcer of skin,main
DX-12.3,Chronic ulcer of skin [199.],lvl2
DX200,Other skin disorders,main
DX-12.4,Other skin disorders [200.],lvl2
DX201,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),main
DX-13,Diseases of the musculoskeletal system and connective tissue,lvl1
DX-13.1,Infective arthritis and osteomyelitis (except that caused by TB or STD) [201.],lvl2
DX202,Rheumatoid arthritis and related disease,main
DX-13.2,Non-traumatic joint disorders,lvl2
DX203,Osteoarthritis,main
DX204,Other non-traumatic joint disorders,main
DX205,Spondylosis; intervertebral disc disorders; other back problems,main
DX-13.3,Spondylosis; intervertebral disc disorders; other back problems [205.],lvl2
DX206,Osteoporosis,main
DX-13.4,Osteoporosis [206.],lvl2
DX207,Pathological fracture,main
DX-13.5,Pathological fracture [207.],lvl2
DX208,Acquired foot deformities,main
DX-13.6,Acquired deformities,lvl2
DX209,Other acquired deformities,main
DX210,Systemic lupus erythematosus and connective tissue disorders,main
DX-13.7,Systemic lupus erythematosus and connective tissue disorders [210.],lvl2
DX211,Other connective tissue disease,main
DX-13.8,Other connective tissue disease [211.],lvl2
DX212,Other bone disease and musculoskeletal deformities,main
DX-13.9,Other bone disease and musculoskeletal deformities [212.],lvl2
DX213,Cardiac and circulatory congenital anomalies,main
DX-14,Congenital anomalies,lvl1
DX-14.1,Cardiac and circulatory congenital anomalies [213.],lvl2
DX214,Digestive congenital anomalies,main
DX-14.2,Digestive congenital anomalies [214.],lvl2
DX215,Genitourinary congenital anomalies,main
DX-14.3,Genitourinary congenital anomalies [215.],lvl2
DX216,Nervous system congenital anomalies,main
DX-14.4,Nervous system congenital anomalies [216.],lvl2
DX217,Other congenital anomalies,main
DX-14.5,Other congenital anomalies [217.],lvl2
DX218,Liveborn,main
DX-15,Certain conditions originating in the perinatal period,lvl1
DX-15.1,Liveborn [218.],lvl2
DX219,Short gestation; low birth weight; and fetal growth retardation,main
DX-15.2,Short gestation; low birth weight; and fetal growth retardation [219.],lvl2
DX220,Intrauterine hypoxia and birth asphyxia,main
DX-15.3,Intrauterine hypoxia and birth asphyxia [220.],lvl2
DX221,Respiratory distress syndrome,main
DX-15.4,Respiratory distress syndrome [221.],lvl2
DX222,Hemolytic jaundice and perinatal jaundice,main
DX-15.5,Hemolytic jaundice and perinatal jaundice [222.],lvl2
DX223,Birth trauma,main
DX-15.6,Birth trauma [223.],lvl2
DX224,Other perinatal conditions,main
DX-15.7,Other perinatal conditions [224.],lvl2
DX225,Joint disorders and dislocations; trauma-related,main
DX-16,Injury and poisoning,lvl1
DX-16.1,Joint disorders and dislocations; trauma-related [225.],lvl2
DX226,Fracture of neck of femur (hip),main
DX-16.2,Fractures,lvl2
DX227,Spinal cord injury,main
DX-16.3,Spinal cord injury [227.],lvl2
DX228,Skull and face fractures,main
DX229,Fracture of upper limb,main
DX230,Fracture of lower limb,main
DX231,Other fractures,main
DX232,Sprains and strains,main
DX-16.7,Sprains and strains [232.],lvl2
DX233,Intracranial injury,main
DX-16.4,Intracranial injury [233.],lvl2
DX234,Crushing injury or internal injury,main
DX-16.5,Crushing injury or internal injury [234.],lvl2
DX235,Open wounds of head; neck; and trunk,main
DX-16.6,Open wounds,lvl2
DX236,Open wounds of extremities,main
DX237,Complication of device; implant or graft,main
DX-16.10,Complications,lvl2
DX238,Complications of surgical procedures or medical care,main
DX239,Superficial injury; contusion,main
DX-16.8,Superficial injury; contusion [239.],lvl2
DX240,Burns,main
DX-16.9,Burns [240.],lvl2
DX241,Poisoning by psychotropic agents,main
DX-16.11,Poisoning,lvl2
DX242,Poisoning by other medications and drugs,main
DX243,Poisoning by nonmedicinal substances,main
DX244,Other injuries and conditions due to external causes,main
DX-16.12,Other injuries and conditions due to external causes [244.],lvl2
DX245,Syncope,main
DX-17,Symptoms; signs; and ill-defined conditions and factors influencing health status,lvl1
DX-17.1,Symptoms; signs; and ill-defined conditions,lvl2
DX246,Fever of unknown origin,main
DX247,Lymphadenitis,main
DX248,Gangrene,main
DX249,Shock,main
DX250,Nausea and vomiting,main
DX251,Abdominal pain,main
DX252,Malaise and fatigue,main
DX253,Allergic reactions,main
DX254,Rehabilitation care; fitting of prostheses; and adjustment of devices,main
DX-17.2,Factors influencing health care,lvl2
DX255,Administrative/social admission,main
DX256,Medical examination/evaluation,main
DX257,Other aftercare,main
DX258,Other screening for suspected conditions (not mental disorders or infectious disease),main
DX259,Residual codes; unclassified,main
DX-18,Residual codes; unclassified; all E codes [259. and 260.],lvl1
DX650,Adjustment disorders,main
DX-5,Mental Illness,lvl1
DX-5.1,Adjustment disorders [650],lvl2
DX651,Anxiety disorders,main
DX-5.2,Anxiety disorders [651],lvl2
DX652,Attention-deficit conduct and disruptive behavior disorders,main
DX-5.3,Attention deficit conduct and disruptive behavior disorders [652],lvl2
DX653,Delirium dementia and amnestic and other cognitive disorders,main
DX-5.4,Delirium dementia and amnestic and other cognitive disorders [653],lvl2
DX654,Developmental disorders,main
DX-5.5,Developmental disorders [654],lvl2
DX655,Disorders usually diagnosed in infancy childhood or adolescence,main
DX-5.6,Disorders usually diagnosed in infancy childhood or adolescence [655],lvl2
DX656,Impulse control disorders NEC,main
DX-5.7,Impulse control disorders not elsewhere classified [656],lvl2
DX657,Mood disorders,main
DX-5.8,Mood disorders [657],lvl2
DX658,Personality disorders,main
DX-5.9,Personality disorders [658],lvl2
DX659,Schizophrenia and other psychotic disorders,main
DX-5.10,Schizophrenia and other psychotic disorders [659],lvl2
DX660,Alcohol-related disorders,main
DX-5.11,Alcohol-related disorders [660],lvl2
DX661,Substance-related disorders,main
DX-5.12,Substance-related disorders [661],lvl2
DX662,Suicide and intentional self-inflicted injury,main
DX-5.13,Suicide and intentional self-inflicted injury [662],lvl2
DX663,Screening and history of mental health and substance abuse codes,main
DX-5.14,Screening and history of mental health and substance abuse codes [663],lvl2
DX670,Miscellaneous mental health disorders,main
DX-5.15,Miscellaneous mental disorders [670],lvl2
DX2601,External cause codes:  Cut/pierce,main
DX2602,External cause codes:  Drowning/submersion,main
DX2603,External cause codes:  Fall,main
DX2604,External cause codes:  Fire/burn,main
DX2605,External cause codes:  Firearm,main
DX2606,External cause codes:  Machinery,main
DX2607,External cause codes:  Motor vehicle traffic (MVT),main
DX2608,External cause codes:  Pedal cyclist; not MVT,main
DX2609,External cause codes:  Pedestrian; not MVT,main
DX2610,External cause codes:  Transport; not MVT,main
DX2611,External cause codes:  Natural/environment,main
DX2612,External cause codes:  Overexertion,main
DX2613,External cause codes:  Poisoning,main
DX2614,External cause codes:  Struck by; against,main
DX2615,External cause codes:  Suffocation,main
DX2616,Adverse effects of medical care,main
DX2617,Adverse effects of medical drugs,main
DX2618,External cause codes:  Other specified and classifiable,main
DX2619,External cause codes:  Other specified; NEC,main
DX2620,External cause codes:  Unspecified,main
DX2621,External cause codes:  Place of occurrence,main
