I9_DX,I9_DX_desc,CCI,body_system
00804,E. COLI ENTERITIS-HEMOR (Begin 1992),NonChronic,Infectious and parasitic disease
00809,E. COLI ENTERITIS-OTHER (Begin 1992),NonChronic,Infectious and parasitic disease
0081,ARIZONA ENTERITIS,NonChronic,Infectious and parasitic disease
0082,AEROBACTER ENTERITIS,NonChronic,Infectious and parasitic disease
0083,PROTEUS ENTERITIS,NonChronic,Infectious and parasitic disease
00841,STAPHYLOCOCC ENTERITIS,NonChronic,Infectious and parasitic disease
00842,PSEUDOMONAS ENTERITIS,NonChronic,Infectious and parasitic disease
00843,CAMPYLOBACTER (Begin 1992),NonChronic,Infectious and parasitic disease
00844,YERSINIA (Begin 1992),NonChronic,Infectious and parasitic disease
00845,CLOSTRIDIUM DIF (Begin 1992),NonChronic,Infectious and parasitic disease
00846,OTHER ANAEROBES (Begin 1992),NonChronic,Infectious and parasitic disease
00847,OTH GRAM NEG BACT (Begin 1992),NonChronic,Infectious and parasitic disease
00849,BACTERIAL ENTERITIS NEC,NonChronic,Infectious and parasitic disease
0085,BACTERIAL ENTERITIS NOS,NonChronic,Infectious and parasitic disease
0086,VIRAL ENTERITIS NEC (Begin 1980 End 1992),NonChronic,Infectious and parasitic disease
00861,ROTAVIRUS ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00862,ADENOVIR ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00863,NORWALK VIR ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00864,SML ROUND VIR ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00865,CALCIVIRUS ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00866,ASTROVIRUS ENTERITIS (Begin 1992),NonChronic,Infectious and parasitic disease
00867,ENTERITIS NEC (Begin 1992),NonChronic,Infectious and parasitic disease
00869,ENTERITIS NOS (Begin 1992),NonChronic,Infectious and parasitic disease
0088,VIRAL ENTERITIS NOS,NonChronic,Infectious and parasitic disease
0090,INFECTIOUS ENTERITIS NOS,NonChronic,Infectious and parasitic disease
0091,ENTERITIS OF INFECT ORIG,NonChronic,Infectious and parasitic disease
0092,INFECTIOUS DIARRHEA NOS,NonChronic,Infectious and parasitic disease
0093,DIARRHEA OF INFECT ORIG,NonChronic,Infectious and parasitic disease
01000,PRIM TB COMPLEX-UNSPEC,NonChronic,Infectious and parasitic disease
01001,PRIM TB COMPLEX-NO EXAM,NonChronic,Infectious and parasitic disease
01002,PRIM TB COMPLEX-EXM UNKN,NonChronic,Infectious and parasitic disease
01003,PRIM TB COMPLEX-MICRO DX,NonChronic,Infectious and parasitic disease
01004,PRIM TB COMPLEX-CULT DX,NonChronic,Infectious and parasitic disease
01005,PRIM TB COMPLEX-HISTO DX,NonChronic,Infectious and parasitic disease
01006,PRIM TB COMPLEX-OTH TEST,NonChronic,Infectious and parasitic disease
01010,PRIM TB PLEURISY-UNSPEC,NonChronic,Infectious and parasitic disease
01011,PRIM TB PLEURISY-NO EXAM,NonChronic,Infectious and parasitic disease
01012,PRIM TB PLEUR-EXAM UNKN,NonChronic,Infectious and parasitic disease
01013,PRIM TB PLEURIS-MICRO DX,NonChronic,Infectious and parasitic disease
01014,PRIM TB PLEURISY-CULT DX,NonChronic,Infectious and parasitic disease
01015,PRIM TB PLEURIS-HISTO DX,NonChronic,Infectious and parasitic disease
01016,PRIM TB PLEURIS-OTH TEST,NonChronic,Infectious and parasitic disease
01080,PRIM PROG TB NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01081,PRIM PROG TB NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01082,PRIM PR TB NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01083,PRIM PRG TB NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01084,PRIM PROG TB NEC-CULT DX,NonChronic,Infectious and parasitic disease
01085,PRIM PRG TB NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01086,PRIM PRG TB NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01090,PRIMARY TB NOS-UNSPEC,NonChronic,Infectious and parasitic disease
01091,PRIMARY TB NOS-NO EXAM,NonChronic,Infectious and parasitic disease
01092,PRIMARY TB NOS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01093,PRIMARY TB NOS-MICRO DX,NonChronic,Infectious and parasitic disease
01094,PRIMARY TB NOS-CULT DX,NonChronic,Infectious and parasitic disease
01095,PRIMARY TB NOS-HISTO DX,NonChronic,Infectious and parasitic disease
01096,PRIMARY TB NOS-OTH TEST,NonChronic,Infectious and parasitic disease
01100,TB LUNG INFILTR-UNSPEC,NonChronic,Infectious and parasitic disease
01101,TB LUNG INFILTR-NO EXAM,NonChronic,Infectious and parasitic disease
01102,TB LUNG INFILTR-EXM UNKN,NonChronic,Infectious and parasitic disease
01103,TB LUNG INFILTR-MICRO DX,NonChronic,Infectious and parasitic disease
01104,TB LUNG INFILTR-CULT DX,NonChronic,Infectious and parasitic disease
01105,TB LUNG INFILTR-HISTO DX,NonChronic,Infectious and parasitic disease
01106,TB LUNG INFILTR-OTH TEST,NonChronic,Infectious and parasitic disease
01110,TB LUNG NODULAR-UNSPEC,NonChronic,Infectious and parasitic disease
01111,TB LUNG NODULAR-NO EXAM,NonChronic,Infectious and parasitic disease
01112,TB LUNG NODUL-EXAM UNKN,NonChronic,Infectious and parasitic disease
01113,TB LUNG NODULAR-MICRO DX,NonChronic,Infectious and parasitic disease
01114,TB LUNG NODULAR-CULT DX,NonChronic,Infectious and parasitic disease
01115,TB LUNG NODULAR-HISTO DX,NonChronic,Infectious and parasitic disease
01116,TB LUNG NODULAR-OTH TEST,NonChronic,Infectious and parasitic disease
01120,TB LUNG W CAVITY-UNSPEC,NonChronic,Infectious and parasitic disease
01121,TB LUNG W CAVITY-NO EXAM,NonChronic,Infectious and parasitic disease
01122,TB LUNG CAVITY-EXAM UNKN,NonChronic,Infectious and parasitic disease
01123,TB LUNG W CAVIT-MICRO DX,NonChronic,Infectious and parasitic disease
01124,TB LUNG W CAVITY-CULT DX,NonChronic,Infectious and parasitic disease
01125,TB LUNG W CAVIT-HISTO DX,NonChronic,Infectious and parasitic disease
01126,TB LUNG W CAVIT-OTH TEST,NonChronic,Infectious and parasitic disease
01130,TB OF BRONCHUS-UNSPEC,NonChronic,Infectious and parasitic disease
01131,TB OF BRONCHUS-NO EXAM,NonChronic,Infectious and parasitic disease
01132,TB OF BRONCHUS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01133,TB OF BRONCHUS-MICRO DX,NonChronic,Infectious and parasitic disease
01134,TB OF BRONCHUS-CULT DX,NonChronic,Infectious and parasitic disease
01135,TB OF BRONCHUS-HISTO DX,NonChronic,Infectious and parasitic disease
01136,TB OF BRONCHUS-OTH TEST,NonChronic,Infectious and parasitic disease
01140,TB LUNG FIBROSIS-UNSPEC,NonChronic,Infectious and parasitic disease
01141,TB LUNG FIBROSIS-NO EXAM,NonChronic,Infectious and parasitic disease
01142,TB LUNG FIBROS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01143,TB LUNG FIBROS-MICRO DX,NonChronic,Infectious and parasitic disease
01144,TB LUNG FIBROSIS-CULT DX,NonChronic,Infectious and parasitic disease
01145,TB LUNG FIBROS-HISTO DX,NonChronic,Infectious and parasitic disease
01146,TB LUNG FIBROS-OTH TEST,NonChronic,Infectious and parasitic disease
01150,TB BRONCHIECTASIS-UNSPEC,NonChronic,Infectious and parasitic disease
01151,TB BRONCHIECT-NO EXAM,NonChronic,Infectious and parasitic disease
01152,TB BRONCHIECT-EXAM UNKN,NonChronic,Infectious and parasitic disease
01153,TB BRONCHIECT-MICRO DX,NonChronic,Infectious and parasitic disease
01154,TB BRONCHIECT-CULT DX,NonChronic,Infectious and parasitic disease
01155,TB BRONCHIECT-HISTO DX,NonChronic,Infectious and parasitic disease
01156,TB BRONCHIECT-OTH TEST,NonChronic,Infectious and parasitic disease
01160,TB PNEUMONIA-UNSPEC,NonChronic,Infectious and parasitic disease
01161,TB PNEUMONIA-NO EXAM,NonChronic,Infectious and parasitic disease
01162,TB PNEUMONIA-EXAM UNKN,NonChronic,Infectious and parasitic disease
01163,TB PNEUMONIA-MICRO DX,NonChronic,Infectious and parasitic disease
01164,TB PNEUMONIA-CULT DX,NonChronic,Infectious and parasitic disease
01165,TB PNEUMONIA-HISTO DX,NonChronic,Infectious and parasitic disease
01166,TB PNEUMONIA-OTH TEST,NonChronic,Infectious and parasitic disease
01170,TB PNEUMOTHORAX-UNSPEC,NonChronic,Infectious and parasitic disease
01171,TB PNEUMOTHORAX-NO EXAM,NonChronic,Infectious and parasitic disease
01172,TB PNEUMOTHORX-EXAM UNKN,NonChronic,Infectious and parasitic disease
01173,TB PNEUMOTHORAX-MICRO DX,NonChronic,Infectious and parasitic disease
01174,TB PNEUMOTHORAX-CULT DX,NonChronic,Infectious and parasitic disease
01175,TB PNEUMOTHORAX-HISTO DX,NonChronic,Infectious and parasitic disease
01176,TB PNEUMOTHORAX-OTH TEST,NonChronic,Infectious and parasitic disease
01180,PULMONARY TB NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01181,PULMONARY TB NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01182,PULMON TB NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01183,PULMON TB NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01184,PULMON TB NEC-CULT DX,NonChronic,Infectious and parasitic disease
01185,PULMON TB NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01186,PULMON TB NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01190,PULMONARY TB NOS-UNSPEC,NonChronic,Infectious and parasitic disease
01191,PULMONARY TB NOS-NO EXAM,NonChronic,Infectious and parasitic disease
01192,PULMON TB NOS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01193,PULMON TB NOS-MICRO DX,NonChronic,Infectious and parasitic disease
01194,PULMON TB NOS-CULT DX,NonChronic,Infectious and parasitic disease
01195,PULMON TB NOS-HISTO DX,NonChronic,Infectious and parasitic disease
01196,PULMON TB NOS-OTH TEST,NonChronic,Infectious and parasitic disease
01200,TB PLEURISY-UNSPEC,NonChronic,Infectious and parasitic disease
01201,TB PLEURISY-NO EXAM,NonChronic,Infectious and parasitic disease
01202,TB PLEURISY-EXAM UNKN,NonChronic,Infectious and parasitic disease
01203,TB PLEURISY-MICRO DX,NonChronic,Infectious and parasitic disease
01204,TB PLEURISY-CULT DX,NonChronic,Infectious and parasitic disease
01205,TB PLEURISY-HISTOLOG DX,NonChronic,Infectious and parasitic disease
01206,TB PLEURISY-OTH TEST,NonChronic,Infectious and parasitic disease
01210,TB THORACIC NODES-UNSPEC,NonChronic,Infectious and parasitic disease
01211,TB THORAX NODE-NO EXAM,NonChronic,Infectious and parasitic disease
01212,TB THORAX NODE-EXAM UNKN,NonChronic,Infectious and parasitic disease
01213,TB THORAX NODE-MICRO DX,NonChronic,Infectious and parasitic disease
01214,TB THORAX NODE-CULT DX,NonChronic,Infectious and parasitic disease
01215,TB THORAX NODE-HISTO DX,NonChronic,Infectious and parasitic disease
01216,TB THORAX NODE-OTH TEST,NonChronic,Infectious and parasitic disease
01220,ISOL TRACHEAL TB-UNSPEC,NonChronic,Infectious and parasitic disease
01221,ISOL TRACHEAL TB-NO EXAM,NonChronic,Infectious and parasitic disease
01222,ISOL TRACH TB-EXAM UNKN,NonChronic,Infectious and parasitic disease
01223,ISOLAT TRACH TB-MICRO DX,NonChronic,Infectious and parasitic disease
01224,ISOL TRACHEAL TB-CULT DX,NonChronic,Infectious and parasitic disease
01225,ISOLAT TRACH TB-HISTO DX,NonChronic,Infectious and parasitic disease
01226,ISOLAT TRACH TB-OTH TEST,NonChronic,Infectious and parasitic disease
01230,TB LARYNGITIS-UNSPEC,NonChronic,Infectious and parasitic disease
01231,TB LARYNGITIS-NO EXAM,NonChronic,Infectious and parasitic disease
01232,TB LARYNGITIS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01233,TB LARYNGITIS-MICRO DX,NonChronic,Infectious and parasitic disease
01234,TB LARYNGITIS-CULT DX,NonChronic,Infectious and parasitic disease
01235,TB LARYNGITIS-HISTO DX,NonChronic,Infectious and parasitic disease
01236,TB LARYNGITIS-OTH TEST,NonChronic,Infectious and parasitic disease
01280,RESP TB NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01281,RESP TB NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01282,RESP TB NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01283,RESP TB NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01284,RESP TB NEC-CULT DX,NonChronic,Infectious and parasitic disease
01285,RESP TB NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01286,RESP TB NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01300,TB MENINGITIS-UNSPEC,NonChronic,Infectious and parasitic disease
01301,TB MENINGITIS-NO EXAM,NonChronic,Infectious and parasitic disease
01302,TB MENINGITIS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01303,TB MENINGITIS-MICRO DX,NonChronic,Infectious and parasitic disease
01304,TB MENINGITIS-CULT DX,NonChronic,Infectious and parasitic disease
01305,TB MENINGITIS-HISTO DX,NonChronic,Infectious and parasitic disease
01306,TB MENINGITIS-OTH TEST,NonChronic,Infectious and parasitic disease
01310,TUBRCLMA MENINGES-UNSPEC,NonChronic,Infectious and parasitic disease
01311,TUBRCLMA MENING-NO EXAM,NonChronic,Infectious and parasitic disease
01312,TUBRCLMA MENIN-EXAM UNKN,NonChronic,Infectious and parasitic disease
01313,TUBRCLMA MENING-MICRO DX,NonChronic,Infectious and parasitic disease
01314,TUBRCLMA MENING-CULT DX,NonChronic,Infectious and parasitic disease
01315,TUBRCLMA MENING-HISTO DX,NonChronic,Infectious and parasitic disease
01316,TUBRCLMA MENING-OTH TEST,NonChronic,Infectious and parasitic disease
01320,TUBERCULOMA BRAIN-UNSPEC,NonChronic,Infectious and parasitic disease
01321,TUBRCLOMA BRAIN-NO EXAM,NonChronic,Infectious and parasitic disease
01322,TUBRCLMA BRAIN-EXAM UNKN,NonChronic,Infectious and parasitic disease
01323,TUBRCLOMA BRAIN-MICRO DX,NonChronic,Infectious and parasitic disease
01324,TUBRCLOMA BRAIN-CULT DX,NonChronic,Infectious and parasitic disease
01325,TUBRCLOMA BRAIN-HISTO DX,NonChronic,Infectious and parasitic disease
01326,TUBRCLOMA BRAIN-OTH TEST,NonChronic,Infectious and parasitic disease
01330,TB BRAIN ABSCESS-UNSPEC,NonChronic,Infectious and parasitic disease
01331,TB BRAIN ABSCESS-NO EXAM,NonChronic,Infectious and parasitic disease
01332,TB BRAIN ABSC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01333,TB BRAIN ABSC-MICRO DX,NonChronic,Infectious and parasitic disease
01334,TB BRAIN ABSCESS-CULT DX,NonChronic,Infectious and parasitic disease
01335,TB BRAIN ABSC-HISTO DX,NonChronic,Infectious and parasitic disease
01336,TB BRAIN ABSC-OTH TEST,NonChronic,Infectious and parasitic disease
01340,TUBRCLMA SP CORD-UNSPEC,NonChronic,Infectious and parasitic disease
01341,TUBRCLMA SP CORD-NO EXAM,NonChronic,Infectious and parasitic disease
01342,TUBRCLMA SP CD-EXAM UNKN,NonChronic,Infectious and parasitic disease
01343,TUBRCLMA SP CRD-MICRO DX,NonChronic,Infectious and parasitic disease
01344,TUBRCLMA SP CORD-CULT DX,NonChronic,Infectious and parasitic disease
01345,TUBRCLMA SP CRD-HISTO DX,NonChronic,Infectious and parasitic disease
01346,TUBRCLMA SP CRD-OTH TEST,NonChronic,Infectious and parasitic disease
01350,TB SP CRD ABSCESS-UNSPEC,NonChronic,Infectious and parasitic disease
01351,TB SP CRD ABSC-NO EXAM,NonChronic,Infectious and parasitic disease
01352,TB SP CRD ABSC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01353,TB SP CRD ABSC-MICRO DX,NonChronic,Infectious and parasitic disease
01354,TB SP CRD ABSC-CULT DX,NonChronic,Infectious and parasitic disease
01355,TB SP CRD ABSC-HISTO DX,NonChronic,Infectious and parasitic disease
01356,TB SP CRD ABSC-OTH TEST,NonChronic,Infectious and parasitic disease
01360,TB ENCEPHALITIS-UNSPEC,NonChronic,Infectious and parasitic disease
01361,TB ENCEPHALITIS-NO EXAM,NonChronic,Infectious and parasitic disease
01362,TB ENCEPHALIT-EXAM UNKN,NonChronic,Infectious and parasitic disease
01363,TB ENCEPHALITIS-MICRO DX,NonChronic,Infectious and parasitic disease
01364,TB ENCEPHALITIS-CULT DX,NonChronic,Infectious and parasitic disease
01365,TB ENCEPHALITIS-HISTO DX,NonChronic,Infectious and parasitic disease
01366,TB ENCEPHALITIS-OTH TEST,NonChronic,Infectious and parasitic disease
01380,CNS TB NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01381,CNS TB NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01382,CNS TB NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01383,CNS TB NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01384,CNS TB NEC-CULT DX,NonChronic,Infectious and parasitic disease
01385,CNS TB NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01386,CNS TB NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01390,CNS TB NOS-UNSPEC,NonChronic,Infectious and parasitic disease
01391,CNS TB NOS-NO EXAM,NonChronic,Infectious and parasitic disease
01392,CNS TB NOS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01393,CNS TB NOS-MICRO DX,NonChronic,Infectious and parasitic disease
01394,CNS TB NOS-CULT DX,NonChronic,Infectious and parasitic disease
01395,CNS TB NOS-HISTO DX,NonChronic,Infectious and parasitic disease
01396,CNS TB NOS-OTH TEST,NonChronic,Infectious and parasitic disease
01400,TB PERITONITIS-UNSPEC,NonChronic,Infectious and parasitic disease
01401,TB PERITONITIS-NO EXAM,NonChronic,Infectious and parasitic disease
01402,TB PERITONITIS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01403,TB PERITONITIS-MICRO DX,NonChronic,Infectious and parasitic disease
01404,TB PERITONITIS-CULT DX,NonChronic,Infectious and parasitic disease
01405,TB PERITONITIS-HISTO DX,NonChronic,Infectious and parasitic disease
01406,TB PERITONITIS-OTH TEST,NonChronic,Infectious and parasitic disease
01480,INTESTINAL TB NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01481,INTESTIN TB NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01482,INTEST TB NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01483,INTESTIN TB NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01484,INTESTIN TB NEC-CULT DX,NonChronic,Infectious and parasitic disease
01485,INTESTIN TB NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01486,INTESTIN TB NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01500,TB OF VERTEBRA-UNSPEC,NonChronic,Infectious and parasitic disease
01501,TB OF VERTEBRA-NO EXAM,NonChronic,Infectious and parasitic disease
01502,TB OF VERTEBRA-EXAM UNKN,NonChronic,Infectious and parasitic disease
01503,TB OF VERTEBRA-MICRO DX,NonChronic,Infectious and parasitic disease
01504,TB OF VERTEBRA-CULT DX,NonChronic,Infectious and parasitic disease
01505,TB OF VERTEBRA-HISTO DX,NonChronic,Infectious and parasitic disease
01506,TB OF VERTEBRA-OTH TEST,NonChronic,Infectious and parasitic disease
01510,TB OF HIP-UNSPEC,NonChronic,Infectious and parasitic disease
01511,TB OF HIP-NO EXAM,NonChronic,Infectious and parasitic disease
01512,TB OF HIP-EXAM UNKN,NonChronic,Infectious and parasitic disease
01513,TB OF HIP-MICRO DX,NonChronic,Infectious and parasitic disease
01514,TB OF HIP-CULT DX,NonChronic,Infectious and parasitic disease
01515,TB OF HIP-HISTO DX,NonChronic,Infectious and parasitic disease
01516,TB OF HIP-OTH TEST,NonChronic,Infectious and parasitic disease
01520,TB OF KNEE-UNSPEC,NonChronic,Infectious and parasitic disease
01521,TB OF KNEE-NO EXAM,NonChronic,Infectious and parasitic disease
01522,TB OF KNEE-EXAM UNKN,NonChronic,Infectious and parasitic disease
01523,TB OF KNEE-MICRO DX,NonChronic,Infectious and parasitic disease
01524,TB OF KNEE-CULT DX,NonChronic,Infectious and parasitic disease
01525,TB OF KNEE-HISTO DX,NonChronic,Infectious and parasitic disease
01526,TB OF KNEE-OTH TEST,NonChronic,Infectious and parasitic disease
01550,TB OF LIMB BONES-UNSPEC,NonChronic,Infectious and parasitic disease
01551,TB LIMB BONES-NO EXAM,NonChronic,Infectious and parasitic disease
01552,TB LIMB BONES-EXAM UNKN,NonChronic,Infectious and parasitic disease
01553,TB LIMB BONES-MICRO DX,NonChronic,Infectious and parasitic disease
01554,TB LIMB BONES-CULT DX,NonChronic,Infectious and parasitic disease
01555,TB LIMB BONES-HISTO DX,NonChronic,Infectious and parasitic disease
01556,TB LIMB BONES-OTH TEST,NonChronic,Infectious and parasitic disease
01560,TB OF MASTOID-UNSPEC,NonChronic,Infectious and parasitic disease
01561,TB OF MASTOID-NO EXAM,NonChronic,Infectious and parasitic disease
01562,TB OF MASTOID-EXAM UNKN,NonChronic,Infectious and parasitic disease
01563,TB OF MASTOID-MICRO DX,NonChronic,Infectious and parasitic disease
01564,TB OF MASTOID-CULT DX,NonChronic,Infectious and parasitic disease
01565,TB OF MASTOID-HISTO DX,NonChronic,Infectious and parasitic disease
01566,TB OF MASTOID-OTH TEST,NonChronic,Infectious and parasitic disease
01570,TB OF BONE NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01571,TB OF BONE NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01572,TB OF BONE NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01573,TB OF BONE NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01574,TB OF BONE NEC-CULT DX,NonChronic,Infectious and parasitic disease
01575,TB OF BONE NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01576,TB OF BONE NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01580,TB OF JOINT NEC-UNSPEC,NonChronic,Infectious and parasitic disease
01581,TB OF JOINT NEC-NO EXAM,NonChronic,Infectious and parasitic disease
01582,TB JOINT NEC-EXAM UNKN,NonChronic,Infectious and parasitic disease
01583,TB OF JOINT NEC-MICRO DX,NonChronic,Infectious and parasitic disease
01584,TB OF JOINT NEC-CULT DX,NonChronic,Infectious and parasitic disease
01585,TB OF JOINT NEC-HISTO DX,NonChronic,Infectious and parasitic disease
01586,TB OF JOINT NEC-OTH TEST,NonChronic,Infectious and parasitic disease
01590,TB BONE/JOINT NOS-UNSPEC,NonChronic,Infectious and parasitic disease
01591,TB BONE/JT NOS-NO EXAM,NonChronic,Infectious and parasitic disease
01592,TB BONE/JT NOS-EXAM UNKN,NonChronic,Infectious and parasitic disease
01593,TB BONE/JT NOS-MICRO DX,NonChronic,Infectious and parasitic disease
01594,TB BONE/JT NOS-CULT DX,NonChronic,Infectious and parasitic disease
01595,TB BONE/JT NOS-HISTO DX,NonChronic,Infectious and parasitic disease
01596,TB BONE/JT NOS-OTH TEST,NonChronic,Infectious and parasitic disease
01600,TB OF KIDNEY-UNSPEC,NonChronic,Infectious and parasitic disease
01601,TB OF KIDNEY-NO EXAM,NonChronic,Infectious and parasitic disease
01602,TB OF KIDNEY-EXAM UNKN,NonChronic,Infectious and parasitic disease
01603,TB OF KIDNEY-MICRO DX,NonChronic,Infectious and parasitic disease
