I9_PR,I9_PR_desc,proc_class
0066,PTCA OR CORONARY ATHER (Begin 2005),Major Therapeutic
0067,INTRAVAS MSMNT THORC ART (begin 2008),Minor Diagnostic
0068,INTRAVAS MSMT PERIPH ART (begin 2008),Minor Diagnostic
0069,INTRAVS MSMT VES NEC/NOS (begin 2008),Minor Diagnostic
0070,REV HIP REPLACETAB/FEM (Begin 2005),Major Therapeutic
0071,REV HIP REPLACETAB COMP (Begin 2005),Major Therapeutic
0072,REV HIP REPLFEM COMP (Begin 2005),Major Therapeutic
0073,REV HIP REPLLINER/HEAD (Begin 2005),Major Therapeutic
0074,HIP REPL SURFMETAL/POLY (Begin 2005),Minor Therapeutic
0075,HIP REP SURFMETAL/METAL (Begin 2005),Minor Therapeutic
0076,HIP REP SURFCERMC/CERMC (Begin 2005),Minor Therapeutic
0077,HIP REPL SURF-CERMC/POLY (Begin 2006),Minor Therapeutic
0080,REV KNEE REPLACEMTTOTAL (Begin 2005),Major Therapeutic
0081,REV KNEE REPLTIBIA COMP (Begin 2005),Major Therapeutic
0082,REV KNEE REPLFEMUR COMP (Begin 2005),Major Therapeutic
0083,REV KNEE REPLACEPATELLA (Begin 2005),Major Therapeutic
0084,REV KNEE REPLTIBIA LIN (Begin 2005),Major Therapeutic
0085,RESRF HIPTOTAL-ACET/FEM (Begin 2006),Major Therapeutic
0086,RESRF HIPPART-FEM HEAD  (Begin 2006),Major Therapeutic
0087,RESRF HIPPART-ACETABLUM (Begin 2006),Major Therapeutic
0091,TRNSPLNT LIVE REL DONOR (Begin 2004),Minor Therapeutic
0092,TRNSPLNT LIVE NONREL DONOR (Begin 2004),Minor Therapeutic
0093,TRANSPLANT CADAVER DONOR (Begin 2004),Minor Therapeutic
0094,INTRA-OP NEUROPHYS MONTR (Begin 2007),Minor Diagnostic
0095,INJECTION OR INFUSION OF GLUCARPIDASE (Begin 2012),Minor Therapeutic
0096,INFUSION OF 4-FACTOR PROTHROMBIN COMPLEX CONCENTRATE��������,Minor Therapeutic
0101,CISTERNAL PUNCTURE,Minor Therapeutic
0102,VENTRICL SHUNT TUBE PUNC,Minor Therapeutic
0109,CRANIAL PUNCTURE NEC,Minor Therapeutic
0110,INTRACRAN PRESSURE MONTR (Begin 2007),Minor Diagnostic
0111,CLOS CEREB MENINGES BX,Minor Diagnostic
0112,OPEN CEREB MENINGES BX,Major Diagnostic
0113,CLOSED BRAIN BIOPSY,Minor Diagnostic
0114,OPEN BRAIN BIOPSY,Major Diagnostic
0115,SKULL BIOPSY,Major Diagnostic
0116,INTRACRANIAL 02 MONITOR (Begin 2007),Minor Diagnostic
0117,BRAIN TEMP MONITORING (Begin 2007),Minor Diagnostic
0118,OTHER BRAIN DX PROCEDURE,Major Diagnostic
0119,OTHER SKULL DX PROCEDURE,Major Diagnostic
0120,IMP/REPL BRAIN PULSE GEN (Begin 2010),Major Therapeutic
0121,CRANIAL SINUS I & D,Major Therapeutic
0122,REMOV INTRACRAN STIMULAT,Major Therapeutic
0123,REOPEN CRANIOTOMY SITE,Major Therapeutic
0124,OTHER CRANIOTOMY,Major Therapeutic
0125,OTHER CRANIECTOMY,Major Therapeutic
0126,INS CATHCRANIAL CAVITY (Begin 2005),Minor Therapeutic
0127,REM CATHCRANIAL CAVITY (Begin 2005),Minor Therapeutic
0128,INTRACEREB CTH-BURR HOLE (Begin 2006),Major Therapeutic
0129,REM BRAIN PULSE GENERATR (Begin 2010),Major Therapeutic
0131,INCISE CEREBRAL MENINGES,Major Therapeutic
0132,LOBOTOMY & TRACTOTOMY,Major Therapeutic
0139,OTHER BRAIN INCISION,Major Therapeutic
0141,THALAMUS OPERATIONS,Major Therapeutic
0142,GLOBUS PALLIDUS OPS,Major Therapeutic
0151,EX CEREB MENINGEAL LES,Major Therapeutic
0152,HEMISPHERECTOMY,Major Therapeutic
0153,BRAIN LOBECTOMY,Major Therapeutic
0159,OTHER BRAIN EXCISION,Major Therapeutic
016 ,EXCISE SKULL LESION,Major Therapeutic
0201,LINEAR CRANIECTOMY,Major Therapeutic
0202,ELEVATE SKULL FX FRAGMNT,Major Therapeutic
0203,SKULL FLAP FORMATION,Major Therapeutic
0204,BONE GRAFT TO SKULL,Major Therapeutic
0205,SKULL PLATE INSERTION,Major Therapeutic
0206,CRANIAL OSTEOPLASTY NEC,Major Therapeutic
0207,SKULL PLATE REMOVAL,Major Therapeutic
0211,SIMPLE SUTURE OF DURA,Major Therapeutic
0212,BRAIN MENINGE REPAIR NEC,Major Therapeutic
0213,MENINGE VESSEL LIGATION,Major Therapeutic
0214,CHOROID PLEXECTOMY,Major Therapeutic
022 ,VENTRICULOSTOMY (end 2010),Major Therapeutic
0221,INSERT/REPLACE EVD (Begin 2011),Major Therapeutic
0222,INTRCRAN VENT SHUNT/ANAS (Begin 2011),Major Therapeutic
0231,VENTRICL SHUNTHEAD/NECK,Major Therapeutic
0232,VENTRI SHUNTCIRCULA SYS,Major Therapeutic
0233,VENTRICL SHUNTTHORAX,Major Therapeutic
0234,VENTRICL SHUNTABDOMEN,Major Therapeutic
0235,VENTRI SHUNTUNINARY SYS,Major Therapeutic
0239,OTHER VENTRICULAR SHUNT,Major Therapeutic
0241,IRRIGATE VENTRICLE SHUNT,Minor Therapeutic
0242,REPLACE VENTRICLE SHUNT,Major Therapeutic
0243,REMOVE VENTRICLE SHUNT,Major Therapeutic
0291,LYSIS CORTICAL ADHESION,Major Therapeutic
0292,BRAIN REPAIR,Major Therapeutic
0293,IMPLANT BRAIN STIMULATOR,Major Therapeutic
0294,INSERT/REPLAC SKULL TONG,Major Therapeutic
0295,REMOVE SKULL TONGS,Minor Therapeutic
0296,INSERT SPHENOIDAL ELECTD (Begin 1992),Minor Therapeutic
0299,SKULL & BRAIN OP NEC,Major Therapeutic
0301,REMOVAL FB SPINAL CANAL,Major Therapeutic
0302,REOPEN LAMINECTOMY SITE,Major Therapeutic
0309,SPINAL CANAL EXPLOR NEC,Major Therapeutic
031 ,INTRASPIN NERVE ROOT DIV,Major Therapeutic
0321,PERCUTANEOUS CHORDOTOMY,Major Therapeutic
0329,OTHER CHORDOTOMY,Major Therapeutic
0331,SPINAL TAP,Minor Diagnostic
0332,SPINAL CORD/MENINGES BX,Major Diagnostic
0339,OTHER SPINAL DX PROC,Major Diagnostic
034 ,EXCIS SPINAL CORD LESION,Major Therapeutic
0351,SPINE MENINGOCELE REPAIR,Major Therapeutic
0352,MYELOMENINGOCEL REPAIR,Major Therapeutic
0353,VERTEBRAL FX REPAIR,Major Therapeutic
0359,SPINAL STRUCT REPAIR NEC,Major Therapeutic
036 ,SPINAL CORD ADHESIOLYSIS,Major Therapeutic
0371,SUBARACHPERITON SHUNT,Major Therapeutic
0372,SUBARACHURETERAL SHUNT,Major Therapeutic
0379,OTH SPINAL THECAL SHUNT,Major Therapeutic
038 ,DESTR INJECTSPINE CANAL,Minor Therapeutic
0390,INSERT SPINAL CANAL CATH (Begin 1987),Minor Therapeutic
0391,ANESTH INJECTSPIN CANAL,Minor Therapeutic
0392,SPINAL CANAL INJECT NEC,Minor Therapeutic
0393,INSERT SPINAL STIMULATOR,Major Therapeutic
0394,REMOVE SPINAL STIMULATOR,Major Therapeutic
0395,SPINAL PATCH,Minor Therapeutic
0396,PERCUTAN FACET DENERVAT,Minor Therapeutic
0397,REVISE SPINE THECA SHUNT,Major Therapeutic
0398,REMOVE SPINE THECA SHUNT,Major Therapeutic
0399,SPINE CANAL STRUC OP NEC,Major Therapeutic
0401,ACOUSTIC NEUROTOMY,Major Therapeutic
0402,TRIGEMINAL NERV DIVISION,Major Therapeutic
0403,PERIPH NERVE DIV NEC,Major Therapeutic
0404,PERIPH NERVE INCIS NEC,Major Therapeutic
0405,GASSERIAN GANGLIONECTOMY,Major Therapeutic
0406,PERIPH GANGLIONECT NEC,Major Therapeutic
0407,PERIPH NERV EXCISION NEC,Major Therapeutic
0411,CLOS PERIPH NERVE BIOPSY,Minor Diagnostic
0412,OPEN PERIPH NERVE BIOPSY,Major Diagnostic
0419,PERIPH NERVE DX PROC NEC,Major Diagnostic
042 ,PERIPH NERVE DESTRUCTION,Minor Therapeutic
043 ,PERIPHERAL NERVE SUTURE,Major Therapeutic
0441,DECOMPRESS TRIGEM ROOT,Major Therapeutic
0442,CRAN NERV ROOT DECOM NEC,Major Therapeutic
0443,CARPAL TUNNEL RELEASE,Major Therapeutic
0444,TARSAL TUNNEL RELEASE,Major Therapeutic
0449,PER NERVE ADHESIOLYS NEC,Major Therapeutic
045 ,PERIPHERAL NERVE GRAFT,Major Therapeutic
046 ,PERIPH NERVE TRANSPOSIT,Major Therapeutic
0471,HYPOGLOSSFACIAL ANASTOM,Major Therapeutic
0472,ACCESSORYFACIAL ANASTOM,Major Therapeutic
0473,ACCESSHYPOGLOSS ANASTOM,Major Therapeutic
0474,PERIPH NERV ANASTOM NEC,Major Therapeutic
0475,POSTOP REVIS PER NERV OP,Major Therapeutic
0476,LATE REPAIR PER NERV INJ,Major Therapeutic
0479,OTHER NEUROPLASTY,Major Therapeutic
0480,PERIPH NERVE INJECT NOS,Minor Therapeutic
0481,ANESTH INJEC PERIPH NERV,Minor Therapeutic
0489,PERIPH NERVE INJECT NEC,Minor Therapeutic
0491,NEURECTASIS,Major Therapeutic
0492,IMPLANT PERIPH STIMULAT,Major Therapeutic
0493,REMOVE PERIPH STIMULATOR,Major Therapeutic
0499,PERIPHERAL NERVE OPS NEC,Major Therapeutic
050 ,SYMPATH NERVE DIVISION,Major Therapeutic
0511,SYMPATHETIC NERVE BIOPSY,Major Diagnostic
0519,SYMPATH NRV DX PROC NEC,Major Diagnostic
0521,SPHENOPALATIN GANGLIONEC,Major Therapeutic
0522,CERVICAL SYMPATHECTOMY,Major Therapeutic
0523,LUMBAR SYMPATHECTOMY,Major Therapeutic
0524,PRESACRAL SYMPATHECTOMY,Major Therapeutic
0525,PERIART SYMPATHECT (Begin 1995),Major Therapeutic
0529,OTHER SYMPATHECTOMY,Major Therapeutic
0531,ANESTH INJECT SYMP NERVE,Minor Therapeutic
0532,NEUROLYT INJECSYMP NRV,Minor Therapeutic
0539,SYMPATH NERVE INJECT NEC,Minor Therapeutic
0581,SYMPATHETIC NERVE REPAIR,Major Therapeutic
0589,SYMPATHETIC NERVE OP NEC,Major Therapeutic
059 ,OTHER NERVOUS SYSTEM OPS,Major Therapeutic
0601,THYROID FIELD ASPIRATION,Minor Therapeutic
0602,REOPEN THYROID FIELD WND,Major Therapeutic
0609,INCIS THYROID FIELD NEC,Major Therapeutic
0611,CLOSED THYROID GLAND BX,Minor Diagnostic
0612,OPEN THYROID GLAND BX,Major Diagnostic
0613,PARATHYROID BIOPSY,Major Diagnostic
0619,THYR/PARATHY DX PROC NEC,Major Diagnostic
062 ,UNILAT THYROID LOBECTOMY,Major Therapeutic
0631,EXCISION THYROID LESION,Major Therapeutic
0639,PART THYROIDECTOMY NEC,Major Therapeutic
064 ,COMPLETE THYROIDECTOMY,Major Therapeutic
0650,SUBSTERN THYROIDECT NOS,Major Therapeutic
0651,PART SUBSTERN THYROIDECT,Major Therapeutic
0652,TOT SUBSTERN THYROIDECT,Major Therapeutic
066 ,LINGUAL THYROID EXCISION,Major Therapeutic
067 ,THYROGLOSS DUCT EXCISION,Major Therapeutic
0681,TOTAL PARATHYROIDECTOMY,Major Therapeutic
0689,OTHER PARATHYROIDECTOMY,Major Therapeutic
0691,THYROID ISTHMUS DIVISION,Major Therapeutic
0692,THYROID VESSEL LIGATION,Major Therapeutic
0693,THYROID SUTURE,Major Therapeutic
0694,THYROID REIMPLANTATION,Major Therapeutic
0695,PARATHYROID REIMPLANT,Major Therapeutic
0698,OTHER THYROID OPERATIONS,Major Therapeutic
0699,OTHER PARATHYROID OPS,Major Therapeutic
0700,ADRENAL EXPLORATION NOS,Major Therapeutic
0701,UNILAT ADRENAL EXPLORAT,Major Therapeutic
0702,BILAT ADRENAL EXPLORAT,Major Therapeutic
0711,CLOSED ADRENAL GLAND BX,Minor Diagnostic
0712,OPEN ADRENAL GLAND BX,Major Diagnostic
0713,TRANSFRONT PITUITARY BX,Major Diagnostic
0714,TRANSPHEN PITUITARY BX,Major Diagnostic
0715,PITUITARY BIOPSY NOS,Major Diagnostic
0716,THYMUS BIOPSY,Major Diagnostic
0717,PINEAL BIOPSY,Major Diagnostic
0719,ENDOCRINE DX PROC NEC,Major Diagnostic
0721,ADRENAL LESION EXCISION,Major Therapeutic
0722,UNILATERAL ADRENALECTOMY,Major Therapeutic
0729,PART ADRENALECTOMY NEC,Major Therapeutic
073 ,BILATERAL ADRENALECTOMY,Major Therapeutic
0741,ADRENAL INCISION,Major Therapeutic
0742,ADRENAL NERVE DIVISION,Major Therapeutic
0743,ADRENAL VESSEL LIGATION,Major Therapeutic
0744,ADRENAL REPAIR,Major Therapeutic
0745,ADRENAL REIMPLANTATION,Major Therapeutic
0749,ADRENAL OPERATION NEC,Major Therapeutic
0751,PINEAL FIELD EXPLORATION,Major Therapeutic
0752,PINEAL GLAND INCISION,Major Therapeutic
0753,PARTIAL PINEALECTOMY,Major Therapeutic
0754,TOTAL PINEALECTOMY,Major Therapeutic
0759,PINEAL OPERATION NEC,Major Therapeutic
0761,EXC PITUIT LESTRANSFRON,Major Therapeutic
0762,EXC PITUIT LESTRANSPHEN,Major Therapeutic
0763,PART EXCIS PITUITARY NOS,Major Therapeutic
0764,TOT EXC PITUITTRANSFRON,Major Therapeutic
0765,TOT EXC PITUITTRANSPHEN,Major Therapeutic
0768,TOTAL EXC PITUITARY NEC,Major Therapeutic
0769,TOTAL EXC PITUITARY NOS,Major Therapeutic
0771,PITUITARY FOSSA EXPLORAT,Major Therapeutic
0772,PITUITARY GLAND INCISION,Major Therapeutic
0779,PITUITARY OPERATION NEC,Major Therapeutic
0780,THYMECTOMY NOS,Major Therapeutic
0781,PART EXCISION OF THYMUS,Major Therapeutic
0782,TOTAL EXCISION OF THYMUS,Major Therapeutic
0783,THORAC PART EXISN THYMUS (Begin 2007),Major Therapeutic
0784,THORAC TOTAL EXC THYMUS (Begin 2007),Major Therapeutic
0791,THYMUS FIELD EXPLORATION,Major Therapeutic
0792,INCISION OF THYMUS,Major Therapeutic
0793,REPAIR OF THYMUS,Major Therapeutic
0794,THYMUS TRANSPLANTATION,Major Therapeutic
0795,THORAC INCISION THYMUS (Begin 2007),Major Therapeutic
0798,OTH THORAC OP THYMUS NOS (Begin 2007),Major Therapeutic
0799,THYMUS OPERATION NEC,Major Therapeutic
0801,INCISION OF LID MARGIN,Minor Therapeutic
0802,BLEPHARORRHAPHY SEVERING,Minor Therapeutic
0809,OTHER EYELID INCISION,Minor Therapeutic
0811,EYELID BIOPSY,Major Diagnostic
0819,EYELID DX PROCEDURE NEC,Minor Diagnostic
0820,REMOVE EYELID LESION NOS,Major Therapeutic
0821,CHALAZION EXCISION,Major Therapeutic
0822,EXCISE MINOR LES LID NEC,Major Therapeutic
0823,EXC MAJ LES LID PRTTHIC,Major Therapeutic
0824,EXC MAJ LES LID FULTHIC,Major Therapeutic
0825,DESTRUCTION LID LESION,Major Therapeutic
0831,PTOSIS REPFRONT MUS SUT,Major Therapeutic
0832,PTOSIS REPFRON MUS SLNG,Major Therapeutic
0833,PTOSIS REPLEVAT MUS ADV,Major Therapeutic
0834,PTOSIS REPLEVAT MUS NEC,Major Therapeutic
0835,PTOS REPTARSAL TECHNIQ,Major Therapeutic
0836,BLEPHAROPTOS REPAIR NEC,Major Therapeutic
0837,REDUC OVERCORRECT PTOSIS,Major Therapeutic
0838,CORRECT LID RETRACTION,Major Therapeutic
0841,THERMOCAUT/ENTROPION REP,Major Therapeutic
0842,SUTURE ENTROPION REPAIR,Major Therapeutic
0843,WEDG RESEC ENTROPION REP,Major Therapeutic
0844,LID RECONS ENTROPION REP,Major Therapeutic
0849,ENTROPION/ECTROP REP NEC,Major Therapeutic
0851,CANTHOTOMY,Major Therapeutic
0852,BLEPHARORRHAPHY,Major Therapeutic
0859,ADJUST LID POSITION NEC,Major Therapeutic
0861,LID RECONST W SKIN GRAFT,Major Therapeutic
0862,LID RECONST W MUC GRAFT,Major Therapeutic
0863,LID RECONST W HAIR GRAFT,Major Therapeutic
0864,LID RECONTARSOCONJ FLAP,Major Therapeutic
0869,LID RECONSTR W GRAFT NEC,Major Therapeutic
0870,LID RECONSTRUCTION NOS,Major Therapeutic
0871,LID MARG RECONPART THIC,Major Therapeutic
0872,LID RECONSPART THIC NEC,Major Therapeutic
0873,LID MARG RECONS FUL THIC,Major Therapeutic
0874,LID RECONSTFUL THIC NEC,Major Therapeutic
0881,LINEAR REP LID LACER,Minor Therapeutic
0882,LID MARG LAC RXPART TH,Minor Therapeutic
0883,LID LACER RXPRT TH NEC,Minor Therapeutic
0884,LID MARG LAC RXFUL THIC,Minor Therapeutic
0885,LID LAC RXFUL THIC NEC,Minor Therapeutic
0886,LOWER LID RHYTIDECTOMY,Minor Therapeutic
0887,UPPER LID RHYTIDECTOMY,Minor Therapeutic
0889,EYELID REPAIR NEC,Minor Therapeutic
0891,ELECTROSURG LID EPILAT,Major Therapeutic
0892,CRYOSURG LID EPILATION,Major Therapeutic
0893,EYELID EPILATION NEC,Major Therapeutic
0899,EYELID OPERATION NEC,Major Therapeutic
090 ,LACRIMAL GLAND INCISION,Major Therapeutic
0911,LACRIMAL GLAND BIOPSY,Major Diagnostic
0912,LACRIMAL SAC BIOPSY,Major Diagnostic
0919,LACRIMAL SYS DX PROC NEC,Major Diagnostic
0920,EXC LACRIMAL GLAND NOS,Major Therapeutic
0921,EXCIS LES LACRIMAL GLAND,Major Therapeutic
0922,PART DACRYOADENECT NEC,Major Therapeutic
0923,TOTAL DACRYOADENECTOMY,Major Therapeutic
093 ,OTHER LACRIMAL GLAND OPS,Major Therapeutic
0941,LACRIMAL PUNCTUM PROBE,Major Therapeutic
0942,LAC CANALICULI PROBE,Major Therapeutic
0943,NASOLACRIMAL DUCT PROBE,Major Therapeutic
0944,NASOLAC DUCT INTUBAT,Major Therapeutic
0949,LAC PASSAGE MANIP NEC,Major Therapeutic
0951,LAC PUNCTUM INCISION,Major Therapeutic
0952,LAC CANALICULI INCISION,Major Therapeutic
0953,LACRIMAL SAC INCISION,Major Therapeutic
0959,LACRIM PASSAGE INCIS NEC,Major Therapeutic
096 ,LACRIM SAC/PASSAGE EXCIS,Major Therapeutic
0971,CORRECT EVERTED PUNCTUM,Major Therapeutic
0972,PUNCTUM REPAIR NEC,Major Therapeutic
0973,CANALICULUS REPAIR,Major Therapeutic
0981,DACRYOCYSTORHINOSTOMY,Major Therapeutic
0982,CONJUNCTIVOCYSTORHINOST,Major Therapeutic
0983,CONJUNCTIVORHINOS W TUBE,Major Therapeutic
0991,LAC PUNCTUM OBLITERATION,Major Therapeutic
0999,LACRIMAL SYSTEM OP NEC,Major Therapeutic
100 ,INCISE/REMOV CONJUNCT FB,Major Therapeutic
101 ,CONJUNCTIVA INCISION NEC,Major Therapeutic
1021,CONJUNCTIVAL BIOPSY,Major Diagnostic
1029,CONJUNCTIVA DX PROC NEC,Major Diagnostic
1031,EXCISE CONJUNCTIV LESION,Major Therapeutic
1032,DESTRUCT CONJUNC LES NEC,Major Therapeutic
1033,OTH CONJUNC DESTRUC PROC,Major Therapeutic
1041,SYMBLEPH REP W FREE GRFT,Major Therapeutic
1042,GRAFT CONJUNC CULDESAC,Major Therapeutic
1043,CONJUN CULDESAC RX NEC,Major Therapeutic
1044,CONJUNC FREE GRAFT NEC,Major Therapeutic
1049,CONJUNCTIVOPLASTY NEC,Major Therapeutic
105 ,CONJUNC/LID ADHESIOLYSIS,Major Therapeutic
106 ,REPAIR CONJUNCT LACERAT,Major Therapeutic
1091,SUBCONJUNCTIVAL INJECT,Major Therapeutic
1099,CONJUNCTIVAL OP NEC,Major Therapeutic
110 ,MAGNET REMOVAL CORNEA FB,Major Therapeutic
111 ,CORNEAL INCISION,Major Therapeutic
1121,CORNEAL SCRAPE FOR SMEAR,Major Diagnostic
1122,CORNEAL BIOPSY,Major Diagnostic
1129,CORNEAL DX PROC NEC,Major Diagnostic
1131,PTERYGIUM TRANSPOSITION,Major Therapeutic
1132,PTERYG EXC W CORNEA GRFT,Major Therapeutic
1139,PTERYGIUM EXCISION NEC,Major Therapeutic
1141,MECH REMOV CORNEA EPITH,Major Therapeutic
1142,THERMOCAUT CORNEA LESION,Major Therapeutic
1143,CRYOTHERAP CORNEA LESION,Major Therapeutic
1149,DESTRUCT CORNEA LES NEC,Major Therapeutic
1151,SUTURE CORNEA LACERATION,Major Therapeutic
1152,REP CORNEA POSTOP DEHISC,Major Therapeutic
1153,RX CORNEA LAC W CONJ FLP,Major Therapeutic
1159,CORNEAL REPAIR NEC,Major Therapeutic
1160,CORNEAL TRANSPLANT NOS,Major Therapeutic
1161,LAM KERATPLAST W AUTGRFT,Major Therapeutic
1162,LAMELLAR KERATOPLAST NEC,Major Therapeutic
1163,PERF KERATOPL W AUTOGRFT,Major Therapeutic
1164,PERFORAT KERATOPLAST NEC,Major Therapeutic
1169,CORNEAL TRANSPLANT NEC,Major Therapeutic
1171,KERATOMELEUSIS,Major Therapeutic
1172,KERATOPHAKIA,Major Therapeutic
1173,KERATOPROSTHESIS,Major Therapeutic
1174,THERMOKERATOPLASTY,Major Therapeutic
1175,RADIAL KERATOTOMY (Begin 1989),Major Therapeutic
1176,EPIKERATOPHAKIA (Begin 1989),Major Therapeutic
1179,CORNEA RECONSTRUCT NEC,Major Therapeutic
1191,CORNEAL TATTOOING,Major Therapeutic
1192,REMOVE CORNEAL IMPLANT,Major Therapeutic
1199,CORNEAL OPERATION NEC,Major Therapeutic
1200,REMOV ANT SEGMNT FB NOS,Major Therapeutic
1201,MAGNET REMOV ANT SEG FB,Major Therapeutic
1202,NONMAG REMOV ANT SEG FB,Major Therapeutic
1211,IRIDOTOMY W TRANSFIXION,Major Therapeutic
1212,IRIDOTOMY NEC,Major Therapeutic
1213,PROLAPSED IRIS EXCISION,Major Therapeutic
1214,IRIDECTOMY NEC,Major Therapeutic
1221,DX ASPIRATANT CHAMBER,Major Diagnostic
1222,IRIS BIOPSY,Major Diagnostic
1229,ANT SEGMENT DX PROC NEC,Major Diagnostic
1231,GONIOSYNECHIAE LYSIS,Major Therapeutic
1232,ANT SYNECHIA LYSIS NEC,Major Therapeutic
1233,POST SYNECHIAE LYSIS,Major Therapeutic
1234,CORNEOVITREAL ADHESIOLYS,Major Therapeutic
1235,COREOPLASTY,Major Therapeutic
1239,IRIDOPLASTY NEC,Major Therapeutic
1240,REMOV ANT SEGMNT LES NOS,Major Therapeutic
1241,NONEXC DESTRUC IRIS LES,Major Therapeutic
1242,EXCISION OF IRIS LESION,Major Therapeutic
1243,NONEXC DESTR CIL BOD LES,Major Therapeutic
1244,EXCISE CILIARY BODY LES,Major Therapeutic
1251,GONIOPUNCTURE,Major Therapeutic
1252,GONIOTOMY,Major Therapeutic
1253,GONIOTOMY W GONIOPUNCTUR,Major Therapeutic
1254,TRABECULOTOMY AB EXTERNO,Major Therapeutic
1255,CYCLODIALYSIS,Major Therapeutic
1259,FACILIT INTRAOC CIRC NEC,Major Therapeutic
1261,TREPHIN SCLERA W IRIDECT,Major Therapeutic
1262,THERMCAUT SCLER W IRIDEC,Major Therapeutic
1263,IRIDENCLEISIS/IRIDOTASIS,Major Therapeutic
1264,TRABECULECTOM AB EXTERNO,Major Therapeutic
1265,SCLER FISTULIZ W IRIDECT,Major Therapeutic
1266,POSTOP REVIS SCL FISTUL,Major Therapeutic
1267,INSERT AQUEOUS DRAIN DEV (Begin 2011),Major Therapeutic
1269,SCLER FISTULIZING OP NEC,Major Therapeutic
1271,CYCLODIATHERMY,Major Therapeutic
